reg_no,name,gender,year,department,cgpa,roommate_1,roommate_2,pref1_block,pref1_room_type,pref2_block,pref2_room_type
230903027,Raghav Shetty,M,3,ME,6.12,240912025,230907026,23,QAC,23,QAC
240901028,Arjun Reddy,M,2,CSE,7.95,240913029,240907030,23,QAC,23,QAC
240913029,Manish Pillai,M,2,IS,6.78,240907030,240901028,23,QAC,23,QAC
240907030,Harsh Kulkarni,M,2,CE,7.15,240901028,240913029,23,QAC,23,QAC
240909031,Rahul Iyer,M,2,AE,6.78,240909032,240907033,23,QAC,23,QAC
240909032,Pranav Agarwal,M,2,AE,9.72,240907033,240909031,23,QAC,23,QAC
240907033,Karan Kulkarni,M,2,CE,7.48,240909031,240909032,23,QAC,23,QAC
240912034,Pranav Bansal,M,2,AI,6.23,230909035,230909036,23,QAC,23,QAC
230909035,Arjun Mehta,M,3,AE,8.49,230909036,240912034,23,QAC,23,QAC
230909036,Harsh Patel,M,3,AE,6.03,240912034,230909035,23,QAC,23,QAC
240913037,Karan Chatterjee,M,2,IS,7.75,230915038,240908039,23,QAC,23,QAC
230915038,Raghav Sharma,M,3,PE,5.15,240908039,240913037,23,QAC,23,QAC
240908039,Rahul Iyer,M,2,BT,5.91,240913037,230915038,23,QAC,23,QAC
230915040,Sid Verma,M,3,PE,7.74,240915041,240908042,23,QAC,23,QAC
240915041,Kunal Nair,M,2,PE,8.39,240908042,230915040,23,QAC,23,QAC
240908042,Vikram Chatterjee,M,2,BT,7.71,230915040,240915041,23,QAC,23,QAC
230903043,Yash Chatterjee,M,3,ME,7.36,240909044,230915045,23,QAC,23,QAC
240909044,Harsh Menon,M,2,AE,7.14,230915045,230903043,23,QAC,23,QAC
230915045,Tarun Patel,M,3,PE,5.73,230903043,240909044,23,QAC,23,QAC
240907046,Rajat Kulkarni,M,2,CE,6.64,230908047,240906048,23,QAC,23,QAC
230908047,Arjun Verma,M,3,BT,6.95,240906048,240907046,23,QAC,23,QAC
240906048,Rahul Bhatt,M,2,CCE,8.77,240907046,230908047,23,QAC,23,QAC
240910049,Nikhil Sharma,M,2,CHE,7.91,240911050,240901051,23,QAC,23,QAC
240911050,Aman Verma,M,2,DS,5.38,240901051,240910049,23,QAC,23,QAC
240901051,Varun Nair,M,2,CSE,7.89,240910049,240911050,23,QAC,23,QAC
240905052,Yash Patel,M,2,IT,7.04,240912053,240913054,23,QAC,23,QAC
240912053,Kunal Bhatt,M,2,AI,6.69,240913054,240905052,23,QAC,23,QAC
240913054,Yash Menon,M,2,IS,8.23,240905052,240912053,23,QAC,23,QAC
240902055,Manish Kapoor,M,2,ECE,8.74,240908056,240912057,23,QAC,23,QAC
240908056,Aman Iyer,M,2,BT,8.62,240912057,240902055,23,QAC,23,QAC
240912057,Varun Iyer,M,2,AI,6.49,240902055,240908056,23,QAC,23,QAC
240904058,Tarun Kulkarni,M,2,EE,7.13,240903059,240915060,23,QAC,23,QAC
240903059,Pranav Kulkarni,M,2,ME,7.9,240915060,240904058,23,QAC,23,QAC
240915060,Vikram Kulkarni,M,2,PE,8.67,240904058,240903059,23,QAC,23,QAC
230914061,Tarun Iyer,M,3,MT,6.92,240909062,230914063,23,QAC,23,QAC
240909062,Rahul Nair,M,2,AE,7.28,230914063,230914061,23,QAC,23,QAC
230914063,Nikhil Singh,M,3,MT,6.17,230914061,240909062,23,QAC,23,QAC
240908064,Aditya Joshi,M,2,BT,6.06,230903065,230905066,23,QAC,23,QAC
230903065,Siddharth Sharma,M,3,ME,8.48,230905066,240908064,23,QAC,23,QAC
230905066,Ankit Mehta,M,3,IT,9.13,240908064,230903065,23,QAC,23,QAC
240912067,Tarun Shetty,M,2,AI,7.41,240905068,240909069,23,QAC,23,QAC
240905068,Aditya Gupta,M,2,IT,8.7,240909069,240912067,23,QAC,23,QAC
240909069,Aman Agarwal,M,2,AE,7.93,240912067,240905068,23,QAC,23,QAC
240910070,Yash Bansal,M,2,CHE,6.73,230909071,230902072,23,QAC,23,QAC
230909071,Karan Gupta,M,3,AE,7.93,230902072,240910070,23,QAC,23,QAC
230902072,Karan Nair,M,3,ECE,9.35,240910070,230909071,23,QAC,23,QAC
240911073,Nikhil Joshi,M,2,DS,7.46,240915074,240901075,23,QAC,23,QAC
240915074,Kunal Verma,M,2,PE,9.38,240901075,240911073,23,QAC,23,QAC
240901075,Harsh Nair,M,2,CSE,4.36,240911073,240915074,23,QAC,23,QAC
240910076,Kunal Bansal,M,2,CHE,8.49,240905077,240907078,23,QAC,23,QAC
240905077,Aditya Agarwal,M,2,IT,7.6,240907078,240910076,23,QAC,23,QAC
240907078,Rohan Mehta,M,2,CE,7.14,240910076,240905077,23,QAC,23,QAC
240915079,Vikram Sharma,M,2,PE,7.61,240910080,240909081,23,QAC,23,QAC
240910080,Arjun Nair,M,2,CHE,5.11,240909081,240915079,23,QAC,23,QAC
240909081,Pranav Reddy,M,2,AE,7.24,240915079,240910080,23,QAC,23,QAC
230915082,Vikram Verma,M,3,PE,7.93,240903083,240910084,23,QAC,23,QAC
240903083,Ankit Chatterjee,M,2,ME,9.27,240910084,230915082,23,QAC,23,QAC
240910084,Raghav Sharma,M,2,CHE,6.88,230915082,240903083,23,QAC,23,QAC
240909085,Sid Iyer,M,2,AE,6.53,230903086,230912087,23,QAC,23,QAC
230903086,Pranav Iyer,M,3,ME,6.9,230912087,240909085,23,QAC,23,QAC
230912087,Tarun Reddy,M,3,AI,8.6,240909085,230903086,23,QAC,23,QAC
240910088,Aditya Agarwal,M,2,CHE,7.89,240911089,240915090,23,QAC,23,QAC
240911089,Pranav Bansal,M,2,DS,6.86,240915090,240910088,23,QAC,23,QAC
240915090,Aman Nair,M,2,PE,8.12,240910088,240911089,23,QAC,23,QAC
240914091,Pranav Gupta,M,2,MT,7.62,240913092,240908093,23,QAC,23,QAC
240913092,Rohan Das,M,2,IS,8.66,240908093,240914091,23,QAC,23,QAC
240908093,Tarun Menon,M,2,BT,6.66,240914091,240913092,23,QAC,23,QAC
240902094,Vikram Reddy,M,2,ECE,7.11,240914095,240907096,23,QAC,23,QAC
240914095,Rajat Bhatt,M,2,MT,7.03,240907096,240902094,23,QAC,23,QAC
240907096,Rohan Gupta,M,2,CE,5.74,240902094,240914095,23,QAC,23,QAC
240915097,Aman Kapoor,M,2,PE,7.86,240904098,230915099,23,QAC,23,QAC
240904098,Arjun Kapoor,M,2,EE,7.81,230915099,240915097,23,QAC,23,QAC
230915099,Manish Pillai,M,3,PE,7.51,240915097,240904098,23,QAC,23,QAC
240915100,Nikhil Singh,M,2,PE,7.22,230913101,240912102,23,QAC,23,QAC
230913101,Karan Menon,M,3,IS,5.8,240912102,240915100,23,QAC,23,QAC
240912102,Varun Menon,M,2,AI,7,240915100,230913101,23,QAC,23,QAC
230914103,Nikhil Das,M,3,MT,7.09,240912104,230914105,23,QAC,23,QAC
240912104,Arjun Joshi,M,2,AI,6.54,230914105,230914103,23,QAC,23,QAC
230914105,Yash Verma,M,3,MT,7.31,230914103,240912104,23,QAC,23,QAC
240915106,Ankit Kapoor,M,2,PE,7.98,240913107,240904108,23,QAC,23,QAC
240913107,Nikhil Verma,M,2,IS,9.76,240904108,240915106,23,QAC,23,QAC
240904108,Siddharth Agarwal,M,2,EE,7.71,240915106,240913107,23,QAC,23,QAC
240902109,Pranav Kapoor,M,2,ECE,7.81,240907110,230902111,23,QAC,23,QAC
240907110,Tarun Agarwal,M,2,CE,7.41,230902111,240902109,23,QAC,23,QAC
230902111,Pranav Singh,M,3,ECE,5.2,240902109,240907110,23,QAC,23,QAC
240905112,Aman Iyer,M,2,IT,7.47,240906113,240909114,23,QAC,23,QAC
240906113,Varun Menon,M,2,CCE,7.57,240909114,240905112,23,QAC,23,QAC
240909114,Arjun Joshi,M,2,AE,10,240905112,240906113,23,QAC,23,QAC
230904115,Pranav Gupta,M,3,EE,7.27,240901116,240912117,23,QAC,23,QAC
240901116,Raghav Chatterjee,M,2,CSE,7.86,240912117,230904115,23,QAC,23,QAC
240912117,Aditya Kapoor,M,2,AI,7.46,230904115,240901116,23,QAC,23,QAC
240911118,Varun Pillai,M,2,DS,6.1,240914119,240911120,23,QAC,23,QAC
240914119,Arjun Mehta,M,2,MT,8.87,240911120,240911118,23,QAC,23,QAC
240911120,Manish Agarwal,M,2,DS,8.4,240911118,240914119,23,QAC,23,QAC
240905121,Tarun Reddy,M,2,IT,8.45,240911122,240905123,23,QAC,23,QAC
240911122,Siddharth Singh,M,2,DS,6.41,240905123,240905121,23,QAC,23,QAC
240905123,Siddharth Chatterjee,M,2,IT,9.18,240905121,240911122,23,QAC,23,QAC
230905124,Sid Patel,M,3,IT,5.82,240910125,240908126,23,QAC,23,QAC
240910125,Harsh Agarwal,M,2,CHE,8.2,240908126,230905124,23,QAC,23,QAC
240908126,Aditya Bansal,M,2,BT,10,230905124,240910125,23,QAC,23,QAC
240915127,Karan Nair,M,2,PE,6.31,240911128,240913129,23,QAC,23,QAC
240911128,Harsh Agarwal,M,2,DS,6.82,240913129,240915127,23,QAC,23,QAC
240913129,Nikhil Mehta,M,2,IS,7.62,240915127,240911128,23,QAC,23,QAC
240904130,Rohan Sharma,M,2,EE,6.9,240908131,240915132,23,QAC,23,QAC
240908131,Harsh Nair,M,2,BT,5.64,240915132,240904130,23,QAC,23,QAC
240915132,Kunal Patel,M,2,PE,7.58,240904130,240908131,23,QAC,23,QAC
240907133,Yash Joshi,M,2,CE,6.23,240911134,230904135,23,QAC,23,QAC
240911134,Rahul Iyer,M,2,DS,8.07,230904135,240907133,23,QAC,23,QAC
230904135,Karan Bansal,M,3,EE,6.4,240907133,240911134,23,QAC,23,QAC
240909136,Nikhil Iyer,M,2,AE,9.36,240913137,230910138,23,QAC,23,QAC
240913137,Ankit Bansal,M,2,IS,6.56,230910138,240909136,23,QAC,23,QAC
230910138,Varun Kulkarni,M,3,CHE,7.11,240909136,240913137,23,QAC,23,QAC
240912139,Raghav Menon,M,2,AI,8.48,230909140,240908141,23,QAC,23,QAC
230909140,Ankit Singh,M,3,AE,6.02,240908141,240912139,23,QAC,23,QAC
240908141,Ankit Das,M,2,BT,7.77,240912139,230909140,23,QAC,23,QAC
230914142,Pranav Bansal,M,3,MT,9.07,240904143,240905144,23,QAC,23,QAC
240904143,Pranav Kulkarni,M,2,EE,5.57,240905144,230914142,23,QAC,23,QAC
240905144,Nikhil Das,M,2,IT,7.72,230914142,240904143,23,QAC,23,QAC
240915145,Tarun Nair,M,2,PE,7.81,240904146,240902147,23,QAC,23,QAC
240904146,Siddharth Reddy,M,2,EE,8.44,240902147,240915145,23,QAC,23,QAC
240902147,Manish Menon,M,2,ECE,6.02,240915145,240904146,23,QAC,23,QAC
240908148,Manish Gupta,M,2,BT,5.92,240907149,230901150,23,QAC,23,QAC
240907149,Siddharth Bhatt,M,2,CE,8.13,230901150,240908148,23,QAC,23,QAC
230901150,Kunal Joshi,M,3,CSE,7.86,240908148,240907149,23,QAC,23,QAC
240906151,Sid Joshi,M,2,CCE,7.8,230914152,,15,DAC,23,QAC
230914152,Manish Chatterjee,M,3,MT,7.92,240906151,,15,DAC,23,QAC
230910153,Tarun Sharma,M,3,CHE,6.68,230910154,,14,DAC,15,DAC
230910154,Kunal Sharma,M,3,CHE,7.78,230910153,,14,DAC,15,DAC
240912155,Tarun Gupta,M,2,AI,7.85,230906156,,14,DAC,23,QAC
230906156,Nikhil Nair,M,3,CCE,6.64,240912155,,14,DAC,23,QAC
240910157,Arjun Singh,M,2,CHE,9.74,230902158,,14,DAC,23,QAC
230902158,Kunal Sharma,M,3,ECE,8.07,240910157,,14,DAC,23,QAC
230910159,Arjun Bhatt,M,3,CHE,6.07,230906160,,14,DAC,23,DAC
230906160,Tarun Menon,M,3,CCE,8.29,230910159,,14,DAC,23,DAC
240908161,Nikhil Kulkarni,M,2,BT,6.33,240911162,,14,DAC,10,DC
240911162,Siddharth Agarwal,M,2,DS,8.44,240908161,,14,DAC,10,DC
240908163,Tarun Verma,M,2,BT,8.89,240911164,,14,DAC,15,DAC
240911164,Yash Kulkarni,M,2,DS,6.52,240908163,,14,DAC,15,DAC
240913165,Karan Patel,M,2,IS,8.66,240908166,,15,DAC,23,DAC
240908166,Pranav Bhatt,M,2,BT,8,240913165,,15,DAC,23,DAC
240906167,Karan Mehta,M,2,CCE,8.49,240909168,,10,DC,14,DAC
240909168,Rohan Das,M,2,AE,9.78,240906167,,10,DC,14,DAC
240914169,Yash Iyer,M,2,MT,7.21,230907170,,15,DAC,14,DAC
230907170,Yash Nair,M,3,CE,6.6,240914169,,15,DAC,14,DAC
230905171,Vikram Verma,M,3,IT,6.43,240913172,,15,DAC,23,DAC
240913172,Manish Pillai,M,2,IS,6.52,230905171,,15,DAC,23,DAC
240905173,Vikram Singh,M,2,IT,7.41,240909174,,14,DAC,15,DAC
240909174,Vikram Singh,M,2,AE,7.91,240905173,,14,DAC,15,DAC
240903175,Sid Pillai,M,2,ME,7.83,240910176,,15,DAC,10,DC
240910176,Sid Kulkarni,M,2,CHE,8.49,240903175,,15,DAC,10,DC
240911177,Kunal Bhatt,M,2,DS,7.52,230913178,,10,DC,15,DAC
230913178,Pranav Bhatt,M,3,IS,9.24,240911177,,10,DC,15,DAC
230907179,Yash Nair,M,3,CE,7.18,240907180,,14,DAC,23,QAC
240907180,Varun Agarwal,M,2,CE,10,230907179,,14,DAC,23,QAC
230914181,Rahul Chatterjee,M,3,MT,8.25,240901182,,15,DAC,10,DC
240901182,Aditya Bansal,M,2,CSE,6.47,230914181,,15,DAC,10,DC
230910183,Nikhil Singh,M,3,CHE,6.21,240901184,,10,DC,23,DAC
240901184,Tarun Menon,M,2,CSE,8.08,230910183,,10,DC,23,DAC
240913185,Manish Agarwal,M,2,IS,7.23,230909186,,15,DAC,23,QAC
230909186,Pranav Sharma,M,3,AE,8.36,240913185,,15,DAC,23,QAC
240912187,Yash Joshi,M,2,AI,8.07,240911188,,10,DC,23,QAC
240911188,Rohan Shetty,M,2,DS,7.41,240912187,,10,DC,23,QAC
240912189,Siddharth Nair,M,2,AI,6.48,230914190,,15,DAC,14,DAC
230914190,Tarun Joshi,M,3,MT,5.68,240912189,,15,DAC,14,DAC
240902191,Arjun Kulkarni,M,2,ECE,6.96,240905192,,14,DAC,23,QAC
240905192,Rahul Gupta,M,2,IT,8.53,240902191,,14,DAC,23,QAC
240904193,Yash Bhatt,M,2,EE,7.76,240908194,,14,DAC,23,QAC
240908194,Pranav Kulkarni,M,2,BT,6.01,240904193,,14,DAC,23,QAC
230911195,Tarun Singh,M,3,DS,7.71,240906196,,23,QAC,10,DC
240906196,Kunal Mehta,M,2,CCE,7.96,230911195,,23,QAC,10,DC
240906197,Kunal Mehta,M,2,CCE,6.44,230905198,,14,DAC,23,QAC
230905198,Rahul Joshi,M,3,IT,7.68,240906197,,14,DAC,23,QAC
230904199,Harsh Kapoor,M,3,EE,7.57,240904200,,15,DAC,14,DAC
240904200,Harsh Das,M,2,EE,6.13,230904199,,15,DAC,14,DAC
240909201,Rajat Bansal,M,2,AE,7.93,240905202,,14,DAC,10,DC
240905202,Karan Das,M,2,IT,8.17,240909201,,14,DAC,10,DC
240901203,Sid Shetty,M,2,CSE,8.8,240904204,,15,DAC,23,QAC
240904204,Tarun Reddy,M,2,EE,8.76,240901203,,15,DAC,23,QAC
240905205,Aman Kapoor,M,2,IT,5.85,240908206,,14,DAC,23,QAC
240908206,Nikhil Kapoor,M,2,BT,6.37,240905205,,14,DAC,23,QAC
240904207,Harsh Sharma,M,2,EE,8.12,240906208,,14,DAC,23,DAC
240906208,Nikhil Reddy,M,2,CCE,8.12,240904207,,14,DAC,23,DAC
240903209,Harsh Sharma,M,2,ME,8.12,240903210,,14,DAC,23,DAC
240903210,Rohan Chatterjee,M,2,ME,10,240903209,,14,DAC,23,DAC
240906211,Nikhil Bhatt,M,2,CCE,8.19,240903212,,15,DAC,23,QAC
240903212,Pranav Gupta,M,2,ME,8.86,240906211,,15,DAC,23,QAC
240902213,Ankit Bansal,M,2,ECE,8.64,240910214,,14,DAC,23,QAC
240910214,Aman Bansal,M,2,CHE,8.28,240902213,,14,DAC,23,QAC
240902215,Yash Kulkarni,M,2,ECE,7.12,240902216,,14,DAC,15,DAC
240902216,Varun Pillai,M,2,ECE,8.41,240902215,,14,DAC,15,DAC
240908217,Vikram Nair,M,2,BT,6.57,230902218,,14,DAC,23,QAC
230902218,Manish Iyer,M,3,ECE,7.22,240908217,,14,DAC,23,QAC
230913219,Harsh Pillai,M,3,IS,6.92,240909220,,10,DC,14,DAC
240909220,Rahul Pillai,M,2,AE,7.6,230913219,,10,DC,14,DAC
240905221,Ankit Menon,M,2,IT,10,240908222,,14,DAC,10,DC
240908222,Manish Das,M,2,BT,5.26,240905221,,14,DAC,10,DC
240910223,Aman Sharma,M,2,CHE,8.32,240904224,,14,DAC,15,DAC
240904224,Rohan Das,M,2,EE,5.56,240910223,,14,DAC,15,DAC
240906225,Karan Pillai,M,2,CCE,6.93,240912226,,15,DAC,23,DAC
240912226,Rajat Nair,M,2,AI,8.81,240906225,,15,DAC,23,DAC
240911227,Arjun Bansal,M,2,DS,7.58,240915228,,14,DAC,15,DAC
240915228,Rajat Kapoor,M,2,PE,6.21,240911227,,14,DAC,15,DAC
240903229,Vikram Singh,M,2,ME,6.64,230911230,,14,DAC,23,QAC
230911230,Yash Kulkarni,M,3,DS,8.32,240903229,,14,DAC,23,QAC
240906231,Raghav Nair,M,2,CCE,6.62,240908232,,10,DC,15,DAC
240908232,Aman Gupta,M,2,BT,7.76,240906231,,10,DC,15,DAC
240903233,Rajat Mehta,M,2,ME,7.55,230912234,,15,DAC,23,DAC
230912234,Siddharth Reddy,M,3,AI,6.72,240903233,,15,DAC,23,DAC
240914235,Raghav Nair,M,2,MT,10,240907236,,14,DAC,23,DAC
240907236,Raghav Kapoor,M,2,CE,8.26,240914235,,14,DAC,23,DAC
240909237,Raghav Gupta,M,2,AE,5.07,240915238,,15,DAC,14,DAC
240915238,Harsh Reddy,M,2,PE,7.72,240909237,,15,DAC,14,DAC
230913239,Harsh Singh,M,3,IS,6.71,240901240,,14,DAC,23,DAC
240901240,Manish Kapoor,M,2,CSE,8.52,230913239,,14,DAC,23,DAC
240910241,Ankit Kulkarni,M,2,CHE,6.55,230913242,,15,DAC,23,DAC
230913242,Siddharth Bansal,M,3,IS,7.36,240910241,,15,DAC,23,DAC
230903243,Pranav Gupta,M,3,ME,8.11,240914244,,14,DAC,23,QAC
240914244,Rajat Chatterjee,M,2,MT,8.54,230903243,,14,DAC,23,QAC
240915245,Nikhil Kulkarni,M,2,PE,6.06,230915246,,23,QAC,14,DAC
230915246,Rahul Menon,M,3,PE,7.1,240915245,,23,QAC,14,DAC
240902247,Varun Reddy,M,2,ECE,6.93,240905248,,15,DAC,10,DC
240905248,Yash Reddy,M,2,IT,6.72,240902247,,15,DAC,10,DC
240914249,Rohan Chatterjee,M,2,MT,9.62,230910250,,14,DAC,10,DC
230910250,Raghav Menon,M,3,CHE,7.99,240914249,,14,DAC,10,DC
240913251,Harsh Kulkarni,M,2,IS,5.99,240914252,,15,DAC,14,DAC
240914252,Yash Pillai,M,2,MT,8.6,240913251,,15,DAC,14,DAC
240906253,Vikram Bansal,M,2,CCE,10,240913254,,23,QAC,15,DAC
240913254,Raghav Chatterjee,M,2,IS,8.74,240906253,,23,QAC,15,DAC
240912255,Arjun Bhatt,M,2,AI,5.68,240906256,,23,QAC,23,DAC
240906256,Rohan Gupta,M,2,CCE,6.92,240912255,,23,QAC,23,DAC
240913257,Ankit Gupta,M,2,IS,9.02,240901258,,14,DAC,23,DAC
240901258,Aditya Gupta,M,2,CSE,6.65,240913257,,14,DAC,23,DAC
230906259,Pranav Iyer,M,3,CCE,8.03,230907260,,14,DAC,23,DAC
230907260,Siddharth Kulkarni,M,3,CE,8.43,230906259,,14,DAC,23,DAC
240902261,Manish Pillai,M,2,ECE,6.39,230903262,,14,DAC,23,QAC
230903262,Tarun Mehta,M,3,ME,7.43,240902261,,14,DAC,23,QAC
240907263,Pranav Gupta,M,2,CE,3.61,240911264,,15,DAC,10,DC
240911264,Siddharth Kapoor,M,2,DS,6.27,240907263,,15,DAC,10,DC
230911265,Ankit Gupta,M,3,DS,7.2,240904266,,14,DAC,23,QAC
240904266,Rajat Kapoor,M,2,EE,6,230911265,,14,DAC,23,QAC
240912267,Vikram Chatterjee,M,2,AI,9.46,240915268,,14,DAC,23,DAC
240915268,Sid Singh,M,2,PE,5.78,240912267,,14,DAC,23,DAC
240908269,Rahul Kapoor,M,2,BT,6.97,240906270,,14,DAC,23,QAC
240906270,Ankit Chatterjee,M,2,CCE,7.66,240908269,,14,DAC,23,QAC
230902271,Rohan Agarwal,M,3,ECE,9.23,240908272,,14,DAC,23,DAC
240908272,Ankit Bansal,M,2,BT,5.78,230902271,,14,DAC,23,DAC
240915273,Aman Iyer,M,2,PE,8.9,240905274,,14,DAC,23,DAC
240905274,Karan Singh,M,2,IT,7.51,240915273,,14,DAC,23,DAC
240911275,Tarun Das,M,2,DS,6.32,240905276,,14,DAC,10,DC
240905276,Harsh Chatterjee,M,2,IT,8.05,240911275,,14,DAC,10,DC
240911277,Kunal Das,M,2,DS,7.74,240913278,,15,DAC,23,QAC
240913278,Kunal Menon,M,2,IS,6.78,240911277,,15,DAC,23,QAC
240902279,Varun Verma,M,2,ECE,7.58,240905280,,14,DAC,23,DAC
240905280,Ankit Verma,M,2,IT,7.04,240902279,,14,DAC,23,DAC
230915281,Kunal Agarwal,M,3,PE,7.64,240903282,,15,DAC,14,DAC
240903282,Yash Bansal,M,2,ME,8.29,230915281,,15,DAC,14,DAC
240901283,Aman Mehta,M,2,CSE,9.4,240915284,,15,DAC,23,QAC
240915284,Yash Mehta,M,2,PE,6.01,240901283,,15,DAC,23,QAC
240907285,Aman Bhatt,M,2,CE,10,240906286,,14,DAC,23,QAC
240906286,Tarun Mehta,M,2,CCE,5.16,240907285,,14,DAC,23,QAC
240906287,Rohan Patel,M,2,CCE,7.32,240907288,,10,DC,23,QAC
240907288,Raghav Gupta,M,2,CE,8.21,240906287,,10,DC,23,QAC
240903289,Harsh Bansal,M,2,ME,7.84,240915290,,15,DAC,14,DAC
240915290,Harsh Agarwal,M,2,PE,6.75,240903289,,15,DAC,14,DAC
240912291,Arjun Patel,M,2,AI,7.25,240906292,,15,DAC,14,DAC
240906292,Manish Reddy,M,2,CCE,6.91,240912291,,15,DAC,14,DAC
240905293,Nikhil Mehta,M,2,IT,6.79,230912294,,14,DAC,10,DC
230912294,Aditya Shetty,M,3,AI,8.52,240905293,,14,DAC,10,DC
240912295,Yash Iyer,M,2,AI,7.93,240903296,,23,DAC,23,QAC
240903296,Rahul Chatterjee,M,2,ME,6.67,240912295,,23,DAC,23,QAC
240911297,Aman Nair,M,2,DS,8.58,240904298,,15,DAC,23,QAC
240904298,Tarun Gupta,M,2,EE,7.87,240911297,,15,DAC,23,QAC
240912299,Sid Gupta,M,2,AI,8.48,240910300,,14,DAC,15,DAC
240910300,Harsh Iyer,M,2,CHE,8.26,240912299,,14,DAC,15,DAC
240911301,Pranav Singh,M,2,DS,6.51,240906302,,10,DC,14,DAC
240906302,Sid Bhatt,M,2,CCE,6.83,240911301,,10,DC,14,DAC
240904303,Ankit Das,M,2,EE,8.4,230905304,,14,DAC,15,DAC
230905304,Kunal Bhatt,M,3,IT,8.23,240904303,,14,DAC,15,DAC
240909305,Sid Iyer,M,2,AE,7.47,240905306,,14,DAC,23,DAC
240905306,Rajat Pillai,M,2,IT,7.64,240909305,,14,DAC,23,DAC
230911307,Harsh Nair,M,3,DS,9.03,240909308,,15,DAC,23,DAC
240909308,Rajat Nair,M,2,AE,6.79,230911307,,15,DAC,23,DAC
240910309,Vikram Gupta,M,2,CHE,8.16,240912310,,23,DAC,14,DAC
240912310,Vikram Chatterjee,M,2,AI,7.26,240910309,,23,DAC,14,DAC
230912311,Manish Kapoor,M,3,AI,7.24,230907312,,14,DAC,10,DC
230907312,Ankit Joshi,M,3,CE,8.82,230912311,,14,DAC,10,DC
230907313,Raghav Reddy,M,3,CE,8.49,240904314,,23,QAC,23,DAC
240904314,Rahul Sharma,M,2,EE,8.48,230907313,,23,QAC,23,DAC
240906315,Rohan Das,M,2,CCE,9.07,240915316,,15,DAC,14,DAC
240915316,Arjun Gupta,M,2,PE,7.53,240906315,,15,DAC,14,DAC
240910317,Aman Kulkarni,M,2,CHE,8.32,240912318,,15,DAC,23,DAC
240912318,Aman Verma,M,2,AI,7.13,240910317,,15,DAC,23,DAC
240905319,Nikhil Bhatt,M,2,IT,7.89,240910320,,14,DAC,15,DAC
240910320,Varun Verma,M,2,CHE,7.34,240905319,,14,DAC,15,DAC
240910321,Karan Menon,M,2,CHE,7.62,240901322,,14,DAC,15,DAC
240901322,Rajat Joshi,M,2,CSE,8.21,240910321,,14,DAC,15,DAC
230915323,Aman Chatterjee,M,3,PE,6.52,240907324,,14,DAC,15,DAC
240907324,Tarun Bansal,M,2,CE,10,230915323,,14,DAC,15,DAC
240902325,Ankit Kapoor,M,2,ECE,6.29,240912326,,14,DAC,23,DAC
240912326,Aditya Gupta,M,2,AI,6.04,240902325,,14,DAC,23,DAC
240913327,Kunal Chatterjee,M,2,IS,8.89,240904328,,14,DAC,23,QAC
240904328,Varun Mehta,M,2,EE,8.45,240913327,,14,DAC,23,QAC
