"id","regNo","name","gender","year","department","cgpa","sessionId","pref1BlockNum","pref1RoomTypeCode","pref2BlockNum","pref2RoomTypeCode","password","source"
"20044","240908039","Rahul Iyer","MALE","2","BT","5.91","6","23","QAC","23","QAC",,"CSV"
"20045","230915040","Sid Verma","MALE","3","PE","7.74","6","23","QAC","23","QAC",,"CSV"
"20046","240915041","Kunal Nair","MALE","2","PE","8.39","6","23","QAC","23","QAC",,"CSV"
"20047","240908042","Vikram Chatterjee","MALE","2","BT","7.71","6","23","QAC","23","QAC",,"CSV"
"20048","230903043","Yash Chatterjee","MALE","3","ME","7.36","6","23","QAC","23","QAC",,"CSV"
"20049","240909044","Harsh Menon","MALE","2","AE","7.14","6","23","QAC","23","QAC",,"CSV"
"20050","230915045","Tarun Patel","MALE","3","PE","5.73","6","23","QAC","23","QAC",,"CSV"
"20051","240907046","Rajat Kulkarni","MALE","2","CE","6.64","6","23","QAC","23","QAC",,"CSV"
"20052","230908047","Arjun Verma","MALE","3","BT","6.95","6","23","QAC","23","QAC",,"CSV"
"20053","240906048","Rahul Bhatt","MALE","2","CCE","8.77","6","23","QAC","23","QAC",,"CSV"
"20054","240910049","Nikhil Sharma","MALE","2","CHE","7.91","6","23","QAC","23","QAC",,"CSV"
"20055","240911050","Aman Verma","MALE","2","DS","5.38","6","23","QAC","23","QAC",,"CSV"
"20056","240901051","Varun Nair","MALE","2","CSE","7.89","6","23","QAC","23","QAC",,"CSV"
"20057","240905052","Yash Patel","MALE","2","IT","7.04","6","23","QAC","23","QAC",,"CSV"
"20058","240912053","Kunal Bhatt","MALE","2","AI","6.69","6","23","QAC","23","QAC",,"CSV"
"20059","240913054","Yash Menon","MALE","2","IS","8.23","6","23","QAC","23","QAC",,"CSV"
"20060","240902055","Manish Kapoor","MALE","2","ECE","8.74","6","23","QAC","23","QAC",,"CSV"
"20061","240908056","Aman Iyer","MALE","2","BT","8.62","6","23","QAC","23","QAC",,"CSV"
"20062","240912057","Varun Iyer","MALE","2","AI","6.49","6","23","QAC","23","QAC",,"CSV"
"20063","240904058","Tarun Kulkarni","MALE","2","EE","7.13","6","23","QAC","23","QAC",,"CSV"
"20064","240903059","Pranav Kulkarni","MALE","2","ME","7.9","6","23","QAC","23","QAC",,"CSV"
"20065","240915060","Vikram Kulkarni","MALE","2","PE","8.67","6","23","QAC","23","QAC",,"CSV"
"20066","230914061","Tarun Iyer","MALE","3","MT","6.92","6","23","QAC","23","QAC",,"CSV"
"20067","240909062","Rahul Nair","MALE","2","AE","7.28","6","23","QAC","23","QAC",,"CSV"
"20068","230914063","Nikhil Singh","MALE","3","MT","6.17","6","23","QAC","23","QAC",,"CSV"
"20069","240908064","Aditya Joshi","MALE","2","BT","6.06","6","23","QAC","23","QAC",,"CSV"
"20070","230903065","Siddharth Sharma","MALE","3","ME","8.48","6","23","QAC","23","QAC",,"CSV"
"20071","230905066","Ankit Mehta","MALE","3","IT","9.13","6","23","QAC","23","QAC",,"CSV"
"20072","240912067","Tarun Shetty","MALE","2","AI","7.41","6","23","QAC","23","QAC",,"CSV"
"20073","240905068","Aditya Gupta","MALE","2","IT","8.7","6","23","QAC","23","QAC",,"CSV"
"20074","240909069","Aman Agarwal","MALE","2","AE","7.93","6","23","QAC","23","QAC",,"CSV"
"20075","240910070","Yash Bansal","MALE","2","CHE","6.73","6","23","QAC","23","QAC",,"CSV"
"20076","230909071","Karan Gupta","MALE","3","AE","7.93","6","23","QAC","23","QAC",,"CSV"
"20077","230902072","Karan Nair","MALE","3","ECE","9.35","6","23","QAC","23","QAC",,"CSV"
"20078","240911073","Nikhil Joshi","MALE","2","DS","7.46","6","23","QAC","23","QAC",,"CSV"
"20079","240915074","Kunal Verma","MALE","2","PE","9.38","6","23","QAC","23","QAC",,"CSV"
"20080","240901075","Harsh Nair","MALE","2","CSE","4.36","6","23","QAC","23","QAC",,"CSV"
"20081","240910076","Kunal Bansal","MALE","2","CHE","8.49","6","23","QAC","23","QAC",,"CSV"
"20082","240905077","Aditya Agarwal","MALE","2","IT","7.6","6","23","QAC","23","QAC",,"CSV"
"20083","240907078","Rohan Mehta","MALE","2","CE","7.14","6","23","QAC","23","QAC",,"CSV"
"20084","240915079","Vikram Sharma","MALE","2","PE","7.61","6","23","QAC","23","QAC",,"CSV"
"20085","240910080","Arjun Nair","MALE","2","CHE","5.11","6","23","QAC","23","QAC",,"CSV"
"20086","240909081","Pranav Reddy","MALE","2","AE","7.24","6","23","QAC","23","QAC",,"CSV"
"20087","230915082","Vikram Verma","MALE","3","PE","7.93","6","23","QAC","23","QAC",,"CSV"
"20088","240903083","Ankit Chatterjee","MALE","2","ME","9.27","6","23","QAC","23","QAC",,"CSV"
"20089","240910084","Raghav Sharma","MALE","2","CHE","6.88","6","23","QAC","23","QAC",,"CSV"
"20090","240909085","Sid Iyer","MALE","2","AE","6.53","6","23","QAC","23","QAC",,"CSV"
"20091","230903086","Pranav Iyer","MALE","3","ME","6.9","6","23","QAC","23","QAC",,"CSV"
"20092","230912087","Tarun Reddy","MALE","3","AI","8.6","6","23","QAC","23","QAC",,"CSV"
"20093","240910088","Aditya Agarwal","MALE","2","CHE","7.89","6","23","QAC","23","QAC",,"CSV"
"20094","240911089","Pranav Bansal","MALE","2","DS","6.86","6","23","QAC","23","QAC",,"CSV"
"20095","240915090","Aman Nair","MALE","2","PE","8.12","6","23","QAC","23","QAC",,"CSV"
"20096","240914091","Pranav Gupta","MALE","2","MT","7.62","6","23","QAC","23","QAC",,"CSV"
"20097","240913092","Rohan Das","MALE","2","IS","8.66","6","23","QAC","23","QAC",,"CSV"
"20098","240908093","Tarun Menon","MALE","2","BT","6.66","6","23","QAC","23","QAC",,"CSV"
"20099","240902094","Vikram Reddy","MALE","2","ECE","7.11","6","23","QAC","23","QAC",,"CSV"
"20100","240914095","Rajat Bhatt","MALE","2","MT","7.03","6","23","QAC","23","QAC",,"CSV"
"20101","240907096","Rohan Gupta","MALE","2","CE","5.74","6","23","QAC","23","QAC",,"CSV"
"20102","240915097","Aman Kapoor","MALE","2","PE","7.86","6","23","QAC","23","QAC",,"CSV"
"20103","240904098","Arjun Kapoor","MALE","2","EE","7.81","6","23","QAC","23","QAC",,"CSV"
"20104","230915099","Manish Pillai","MALE","3","PE","7.51","6","23","QAC","23","QAC",,"CSV"
"20105","240915100","Nikhil Singh","MALE","2","PE","7.22","6","23","QAC","23","QAC",,"CSV"
"20106","230913101","Karan Menon","MALE","3","IS","5.8","6","23","QAC","23","QAC",,"CSV"
"20107","240912102","Varun Menon","MALE","2","AI","7","6","23","QAC","23","QAC",,"CSV"
"20108","230914103","Nikhil Das","MALE","3","MT","7.09","6","23","QAC","23","QAC",,"CSV"
"20109","240912104","Arjun Joshi","MALE","2","AI","6.54","6","23","QAC","23","QAC",,"CSV"
"20110","230914105","Yash Verma","MALE","3","MT","7.31","6","23","QAC","23","QAC",,"CSV"
"20111","240915106","Ankit Kapoor","MALE","2","PE","7.98","6","23","QAC","23","QAC",,"CSV"
"20112","240913107","Nikhil Verma","MALE","2","IS","9.76","6","23","QAC","23","QAC",,"CSV"
"20113","240904108","Siddharth Agarwal","MALE","2","EE","7.71","6","23","QAC","23","QAC",,"CSV"
"20114","240902109","Pranav Kapoor","MALE","2","ECE","7.81","6","23","QAC","23","QAC",,"CSV"
"20115","240907110","Tarun Agarwal","MALE","2","CE","7.41","6","23","QAC","23","QAC",,"CSV"
"20116","230902111","Pranav Singh","MALE","3","ECE","5.2","6","23","QAC","23","QAC",,"CSV"
"20117","240905112","Aman Iyer","MALE","2","IT","7.47","6","23","QAC","23","QAC",,"CSV"
"20118","240906113","Varun Menon","MALE","2","CCE","7.57","6","23","QAC","23","QAC",,"CSV"
"20119","240909114","Arjun Joshi","MALE","2","AE","10","6","23","QAC","23","QAC",,"CSV"
"20120","230904115","Pranav Gupta","MALE","3","EE","7.27","6","23","QAC","23","QAC",,"CSV"
"20121","240901116","Raghav Chatterjee","MALE","2","CSE","7.86","6","23","QAC","23","QAC",,"CSV"
"20122","240912117","Aditya Kapoor","MALE","2","AI","7.46","6","23","QAC","23","QAC",,"CSV"
"20123","240911118","Varun Pillai","MALE","2","DS","6.1","6","23","QAC","23","QAC",,"CSV"
"20124","240914119","Arjun Mehta","MALE","2","MT","8.87","6","23","QAC","23","QAC",,"CSV"
"20125","240911120","Manish Agarwal","MALE","2","DS","8.4","6","23","QAC","23","QAC",,"CSV"
"20126","240905121","Tarun Reddy","MALE","2","IT","8.45","6","23","QAC","23","QAC",,"CSV"
"20127","240911122","Siddharth Singh","MALE","2","DS","6.41","6","23","QAC","23","QAC",,"CSV"
"20128","240905123","Siddharth Chatterjee","MALE","2","IT","9.18","6","23","QAC","23","QAC",,"CSV"
"20129","230905124","Sid Patel","MALE","3","IT","5.82","6","23","QAC","23","QAC",,"CSV"
"20130","240910125","Harsh Agarwal","MALE","2","CHE","8.2","6","23","QAC","23","QAC",,"CSV"
"20131","240908126","Aditya Bansal","MALE","2","BT","10","6","23","QAC","23","QAC",,"CSV"
"20132","240915127","Karan Nair","MALE","2","PE","6.31","6","23","QAC","23","QAC",,"CSV"
"20133","240911128","Harsh Agarwal","MALE","2","DS","6.82","6","23","QAC","23","QAC",,"CSV"
"20134","240913129","Nikhil Mehta","MALE","2","IS","7.62","6","23","QAC","23","QAC",,"CSV"
"20135","240904130","Rohan Sharma","MALE","2","EE","6.9","6","23","QAC","23","QAC",,"CSV"
"20136","240908131","Harsh Nair","MALE","2","BT","5.64","6","23","QAC","23","QAC",,"CSV"
"20137","240915132","Kunal Patel","MALE","2","PE","7.58","6","23","QAC","23","QAC",,"CSV"
"20138","240907133","Yash Joshi","MALE","2","CE","6.23","6","23","QAC","23","QAC",,"CSV"
"20139","240911134","Rahul Iyer","MALE","2","DS","8.07","6","23","QAC","23","QAC",,"CSV"
"20140","230904135","Karan Bansal","MALE","3","EE","6.4","6","23","QAC","23","QAC",,"CSV"
"20141","240909136","Nikhil Iyer","MALE","2","AE","9.36","6","23","QAC","23","QAC",,"CSV"
"20142","240913137","Ankit Bansal","MALE","2","IS","6.56","6","23","QAC","23","QAC",,"CSV"
"20143","230910138","Varun Kulkarni","MALE","3","CHE","7.11","6","23","QAC","23","QAC",,"CSV"
"20144","240912139","Raghav Menon","MALE","2","AI","8.48","6","23","QAC","23","QAC",,"CSV"
"20145","230909140","Ankit Singh","MALE","3","AE","6.02","6","23","QAC","23","QAC",,"CSV"
"20146","240908141","Ankit Das","MALE","2","BT","7.77","6","23","QAC","23","QAC",,"CSV"
"20147","230914142","Pranav Bansal","MALE","3","MT","9.07","6","23","QAC","23","QAC",,"CSV"
"20148","240904143","Pranav Kulkarni","MALE","2","EE","5.57","6","23","QAC","23","QAC",,"CSV"
"20149","240905144","Nikhil Das","MALE","2","IT","7.72","6","23","QAC","23","QAC",,"CSV"
"20150","240915145","Tarun Nair","MALE","2","PE","7.81","6","23","QAC","23","QAC",,"CSV"
"20151","240904146","Siddharth Reddy","MALE","2","EE","8.44","6","23","QAC","23","QAC",,"CSV"
"20152","240902147","Manish Menon","MALE","2","ECE","6.02","6","23","QAC","23","QAC",,"CSV"
"20153","240908148","Manish Gupta","MALE","2","BT","5.92","6","23","QAC","23","QAC",,"CSV"
"20154","240907149","Siddharth Bhatt","MALE","2","CE","8.13","6","23","QAC","23","QAC",,"CSV"
"20155","230901150","Kunal Joshi","MALE","3","CSE","7.86","6","23","QAC","23","QAC",,"CSV"
"20156","240906151","Sid Joshi","MALE","2","CCE","7.8","6","15","DAC","23","QAC",,"CSV"
"20157","230914152","Manish Chatterjee","MALE","3","MT","7.92","6","15","DAC","23","QAC",,"CSV"
"20158","230910153","Tarun Sharma","MALE","3","CHE","6.68","6","14","DAC","15","DAC",,"CSV"
"20159","230910154","Kunal Sharma","MALE","3","CHE","7.78","6","14","DAC","15","DAC",,"CSV"
"20160","240912155","Tarun Gupta","MALE","2","AI","7.85","6","14","DAC","23","QAC",,"CSV"
"20161","230906156","Nikhil Nair","MALE","3","CCE","6.64","6","14","DAC","23","QAC",,"CSV"
"20162","240910157","Arjun Singh","MALE","2","CHE","9.74","6","14","DAC","23","QAC",,"CSV"
"20163","230902158","Kunal Sharma","MALE","3","ECE","8.07","6","14","DAC","23","QAC",,"CSV"
"20164","230910159","Arjun Bhatt","MALE","3","CHE","6.07","6","14","DAC","23","DAC",,"CSV"
"20165","230906160","Tarun Menon","MALE","3","CCE","8.29","6","14","DAC","23","DAC",,"CSV"
"20166","240908161","Nikhil Kulkarni","MALE","2","BT","6.33","6","14","DAC","10","DC",,"CSV"
"20167","240911162","Siddharth Agarwal","MALE","2","DS","8.44","6","14","DAC","10","DC",,"CSV"
"20168","240908163","Tarun Verma","MALE","2","BT","8.89","6","14","DAC","15","DAC",,"CSV"
"20169","240911164","Yash Kulkarni","MALE","2","DS","6.52","6","14","DAC","15","DAC",,"CSV"
"20170","240913165","Karan Patel","MALE","2","IS","8.66","6","15","DAC","23","DAC",,"CSV"
"20171","240908166","Pranav Bhatt","MALE","2","BT","8","6","15","DAC","23","DAC",,"CSV"
"20172","240906167","Karan Mehta","MALE","2","CCE","8.49","6","10","DC","14","DAC",,"CSV"
"20173","240909168","Rohan Das","MALE","2","AE","9.78","6","10","DC","14","DAC",,"CSV"
"20174","240914169","Yash Iyer","MALE","2","MT","7.21","6","15","DAC","14","DAC",,"CSV"
"20175","230907170","Yash Nair","MALE","3","CE","6.6","6","15","DAC","14","DAC",,"CSV"
"20176","230905171","Vikram Verma","MALE","3","IT","6.43","6","15","DAC","23","DAC",,"CSV"
"20177","240913172","Manish Pillai","MALE","2","IS","6.52","6","15","DAC","23","DAC",,"CSV"
"20178","240905173","Vikram Singh","MALE","2","IT","7.41","6","14","DAC","15","DAC",,"CSV"
"20179","240909174","Vikram Singh","MALE","2","AE","7.91","6","14","DAC","15","DAC",,"CSV"
"20180","240903175","Sid Pillai","MALE","2","ME","7.83","6","15","DAC","10","DC",,"CSV"
"20181","240910176","Sid Kulkarni","MALE","2","CHE","8.49","6","15","DAC","10","DC",,"CSV"
"20182","240911177","Kunal Bhatt","MALE","2","DS","7.52","6","10","DC","15","DAC",,"CSV"
"20183","230913178","Pranav Bhatt","MALE","3","IS","9.24","6","10","DC","15","DAC",,"CSV"
"20184","230907179","Yash Nair","MALE","3","CE","7.18","6","14","DAC","23","QAC",,"CSV"
"20185","240907180","Varun Agarwal","MALE","2","CE","10","6","14","DAC","23","QAC",,"CSV"
"20186","230914181","Rahul Chatterjee","MALE","3","MT","8.25","6","15","DAC","10","DC",,"CSV"
"20187","240901182","Aditya Bansal","MALE","2","CSE","6.47","6","15","DAC","10","DC",,"CSV"
"20188","230910183","Nikhil Singh","MALE","3","CHE","6.21","6","10","DC","23","DAC",,"CSV"
"20189","240901184","Tarun Menon","MALE","2","CSE","8.08","6","10","DC","23","DAC",,"CSV"
"20190","240913185","Manish Agarwal","MALE","2","IS","7.23","6","15","DAC","23","QAC",,"CSV"
"20191","230909186","Pranav Sharma","MALE","3","AE","8.36","6","15","DAC","23","QAC",,"CSV"
"20192","240912187","Yash Joshi","MALE","2","AI","8.07","6","10","DC","23","QAC",,"CSV"
"20193","240911188","Rohan Shetty","MALE","2","DS","7.41","6","10","DC","23","QAC",,"CSV"
"20194","240912189","Siddharth Nair","MALE","2","AI","6.48","6","15","DAC","14","DAC",,"CSV"
"20195","230914190","Tarun Joshi","MALE","3","MT","5.68","6","15","DAC","14","DAC",,"CSV"
"20196","240902191","Arjun Kulkarni","MALE","2","ECE","6.96","6","14","DAC","23","QAC",,"CSV"
"20197","240905192","Rahul Gupta","MALE","2","IT","8.53","6","14","DAC","23","QAC",,"CSV"
"20198","240904193","Yash Bhatt","MALE","2","EE","7.76","6","14","DAC","23","QAC",,"CSV"
"20199","240908194","Pranav Kulkarni","MALE","2","BT","6.01","6","14","DAC","23","QAC",,"CSV"
"20200","230911195","Tarun Singh","MALE","3","DS","7.71","6","23","QAC","10","DC",,"CSV"
"20201","240906196","Kunal Mehta","MALE","2","CCE","7.96","6","23","QAC","10","DC",,"CSV"
"20202","240906197","Kunal Mehta","MALE","2","CCE","6.44","6","14","DAC","23","QAC",,"CSV"
"20203","230905198","Rahul Joshi","MALE","3","IT","7.68","6","14","DAC","23","QAC",,"CSV"
"20204","230904199","Harsh Kapoor","MALE","3","EE","7.57","6","15","DAC","14","DAC",,"CSV"
"20205","240904200","Harsh Das","MALE","2","EE","6.13","6","15","DAC","14","DAC",,"CSV"
"20206","240909201","Rajat Bansal","MALE","2","AE","7.93","6","14","DAC","10","DC",,"CSV"
"20207","240905202","Karan Das","MALE","2","IT","8.17","6","14","DAC","10","DC",,"CSV"
"20208","240901203","Sid Shetty","MALE","2","CSE","8.8","6","15","DAC","23","QAC",,"CSV"
"20209","240904204","Tarun Reddy","MALE","2","EE","8.76","6","15","DAC","23","QAC",,"CSV"
"20210","240905205","Aman Kapoor","MALE","2","IT","5.85","6","14","DAC","23","QAC",,"CSV"
"20211","240908206","Nikhil Kapoor","MALE","2","BT","6.37","6","14","DAC","23","QAC",,"CSV"
"20212","240904207","Harsh Sharma","MALE","2","EE","8.12","6","14","DAC","23","DAC",,"CSV"
"20213","240906208","Nikhil Reddy","MALE","2","CCE","8.12","6","14","DAC","23","DAC",,"CSV"
"20214","240903209","Harsh Sharma","MALE","2","ME","8.12","6","14","DAC","23","DAC",,"CSV"
"20215","240903210","Rohan Chatterjee","MALE","2","ME","10","6","14","DAC","23","DAC",,"CSV"
"20216","240906211","Nikhil Bhatt","MALE","2","CCE","8.19","6","15","DAC","23","QAC",,"CSV"
"20217","240903212","Pranav Gupta","MALE","2","ME","8.86","6","15","DAC","23","QAC",,"CSV"
"20218","240902213","Ankit Bansal","MALE","2","ECE","8.64","6","14","DAC","23","QAC",,"CSV"
"20219","240910214","Aman Bansal","MALE","2","CHE","8.28","6","14","DAC","23","QAC",,"CSV"
"20220","240902215","Yash Kulkarni","MALE","2","ECE","7.12","6","14","DAC","15","DAC",,"CSV"
"20221","240902216","Varun Pillai","MALE","2","ECE","8.41","6","14","DAC","15","DAC",,"CSV"
"20222","240908217","Vikram Nair","MALE","2","BT","6.57","6","14","DAC","23","QAC",,"CSV"
"20223","230902218","Manish Iyer","MALE","3","ECE","7.22","6","14","DAC","23","QAC",,"CSV"
"20224","230913219","Harsh Pillai","MALE","3","IS","6.92","6","10","DC","14","DAC",,"CSV"
"20225","240909220","Rahul Pillai","MALE","2","AE","7.6","6","10","DC","14","DAC",,"CSV"
"20226","240905221","Ankit Menon","MALE","2","IT","10","6","14","DAC","10","DC",,"CSV"
"20227","240908222","Manish Das","MALE","2","BT","5.26","6","14","DAC","10","DC",,"CSV"
"20228","240910223","Aman Sharma","MALE","2","CHE","8.32","6","14","DAC","15","DAC",,"CSV"
"20229","240904224","Rohan Das","MALE","2","EE","5.56","6","14","DAC","15","DAC",,"CSV"
"20230","240906225","Karan Pillai","MALE","2","CCE","6.93","6","15","DAC","23","DAC",,"CSV"
"20231","240912226","Rajat Nair","MALE","2","AI","8.81","6","15","DAC","23","DAC",,"CSV"
"20232","240911227","Arjun Bansal","MALE","2","DS","7.58","6","14","DAC","15","DAC",,"CSV"
"20233","240915228","Rajat Kapoor","MALE","2","PE","6.21","6","14","DAC","15","DAC",,"CSV"
"20234","240903229","Vikram Singh","MALE","2","ME","6.64","6","14","DAC","23","QAC",,"CSV"
"20235","230911230","Yash Kulkarni","MALE","3","DS","8.32","6","14","DAC","23","QAC",,"CSV"
"20236","240906231","Raghav Nair","MALE","2","CCE","6.62","6","10","DC","15","DAC",,"CSV"
"20237","240908232","Aman Gupta","MALE","2","BT","7.76","6","10","DC","15","DAC",,"CSV"
"20238","240903233","Rajat Mehta","MALE","2","ME","7.55","6","15","DAC","23","DAC",,"CSV"
"20239","230912234","Siddharth Reddy","MALE","3","AI","6.72","6","15","DAC","23","DAC",,"CSV"
"20240","240914235","Raghav Nair","MALE","2","MT","10","6","14","DAC","23","DAC",,"CSV"
"20241","240907236","Raghav Kapoor","MALE","2","CE","8.26","6","14","DAC","23","DAC",,"CSV"
"20242","240909237","Raghav Gupta","MALE","2","AE","5.07","6","15","DAC","14","DAC",,"CSV"
"20243","240915238","Harsh Reddy","MALE","2","PE","7.72","6","15","DAC","14","DAC",,"CSV"
"20244","230913239","Harsh Singh","MALE","3","IS","6.71","6","14","DAC","23","DAC",,"CSV"
"20245","240901240","Manish Kapoor","MALE","2","CSE","8.52","6","14","DAC","23","DAC",,"CSV"
"20246","240910241","Ankit Kulkarni","MALE","2","CHE","6.55","6","15","DAC","23","DAC",,"CSV"
"20247","230913242","Siddharth Bansal","MALE","3","IS","7.36","6","15","DAC","23","DAC",,"CSV"
"20248","230903243","Pranav Gupta","MALE","3","ME","8.11","6","14","DAC","23","QAC",,"CSV"
"20249","240914244","Rajat Chatterjee","MALE","2","MT","8.54","6","14","DAC","23","QAC",,"CSV"
"20250","240915245","Nikhil Kulkarni","MALE","2","PE","6.06","6","23","QAC","14","DAC",,"CSV"
"20251","230915246","Rahul Menon","MALE","3","PE","7.1","6","23","QAC","14","DAC",,"CSV"
"20252","240902247","Varun Reddy","MALE","2","ECE","6.93","6","15","DAC","10","DC",,"CSV"
"20253","240905248","Yash Reddy","MALE","2","IT","6.72","6","15","DAC","10","DC",,"CSV"
"20254","240914249","Rohan Chatterjee","MALE","2","MT","9.62","6","14","DAC","10","DC",,"CSV"
"20255","230910250","Raghav Menon","MALE","3","CHE","7.99","6","14","DAC","10","DC",,"CSV"
"20256","240913251","Harsh Kulkarni","MALE","2","IS","5.99","6","15","DAC","14","DAC",,"CSV"
"20257","240914252","Yash Pillai","MALE","2","MT","8.6","6","15","DAC","14","DAC",,"CSV"
"20258","240906253","Vikram Bansal","MALE","2","CCE","10","6","23","QAC","15","DAC",,"CSV"
"20259","240913254","Raghav Chatterjee","MALE","2","IS","8.74","6","23","QAC","15","DAC",,"CSV"
"20260","240912255","Arjun Bhatt","MALE","2","AI","5.68","6","23","QAC","23","DAC",,"CSV"
"20261","240906256","Rohan Gupta","MALE","2","CCE","6.92","6","23","QAC","23","DAC",,"CSV"
"20262","240913257","Ankit Gupta","MALE","2","IS","9.02","6","14","DAC","23","DAC",,"CSV"
"20263","240901258","Aditya Gupta","MALE","2","CSE","6.65","6","14","DAC","23","DAC",,"CSV"
"20264","230906259","Pranav Iyer","MALE","3","CCE","8.03","6","14","DAC","23","DAC",,"CSV"
"20265","230907260","Siddharth Kulkarni","MALE","3","CE","8.43","6","14","DAC","23","DAC",,"CSV"
"20266","240902261","Manish Pillai","MALE","2","ECE","6.39","6","14","DAC","23","QAC",,"CSV"
"20267","230903262","Tarun Mehta","MALE","3","ME","7.43","6","14","DAC","23","QAC",,"CSV"
"20268","240907263","Pranav Gupta","MALE","2","CE","3.61","6","15","DAC","10","DC",,"CSV"
"20269","240911264","Siddharth Kapoor","MALE","2","DS","6.27","6","15","DAC","10","DC",,"CSV"
"20270","230911265","Ankit Gupta","MALE","3","DS","7.2","6","14","DAC","23","QAC",,"CSV"
"20271","240904266","Rajat Kapoor","MALE","2","EE","6","6","14","DAC","23","QAC",,"CSV"
"20272","240912267","Vikram Chatterjee","MALE","2","AI","9.46","6","14","DAC","23","DAC",,"CSV"
"20273","240915268","Sid Singh","MALE","2","PE","5.78","6","14","DAC","23","DAC",,"CSV"
"20274","240908269","Rahul Kapoor","MALE","2","BT","6.97","6","14","DAC","23","QAC",,"CSV"
"20275","240906270","Ankit Chatterjee","MALE","2","CCE","7.66","6","14","DAC","23","QAC",,"CSV"
"20276","230902271","Rohan Agarwal","MALE","3","ECE","9.23","6","14","DAC","23","DAC",,"CSV"
